// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
19648	-9.796470	-0.876247	-0.510722	0.014014	-0.040070	0.007687	1.121275	0.095931	-0.236388	0.103092	0.002062	-0.994670	-0.848307	-0.521970	-0.089004	-0.519371	0.852961	-0.052062
19649	-9.701280	-0.843597	-0.541829	0.019206	-0.030992	0.012985	1.121700	0.096659	-0.231573	0.102059	0.001009	-0.994778	-0.857251	-0.507242	-0.088464	-0.504682	0.861803	-0.050904
19650	-9.701510	-0.842517	-0.539310	0.017014	-0.017789	0.011297	1.121767	0.091186	-0.240928	0.101873	0.001105	-0.994797	-0.857349	-0.507095	-0.088361	-0.504554	0.861889	-0.050712
19651	-9.748590	-0.845498	-0.481206	0.020176	-0.019560	0.014289	1.119520	0.087744	-0.239504	0.101662	0.001202	-0.994818	-0.857463	-0.506924	-0.088237	-0.504403	0.861990	-0.050504
19652	-9.798980	-0.807492	-0.412378	0.025462	-0.014764	0.015911	1.119317	0.094919	-0.239554	0.101451	0.001248	-0.994840	-0.857608	-0.506704	-0.088092	-0.504199	0.862119	-0.050335
19653	-9.791650	-0.787066	-0.424194	0.025956	-0.016899	0.018589	1.123139	0.086496	-0.238108	0.101203	0.001301	-0.994865	-0.857757	-0.506481	-0.087918	-0.503994	0.862250	-0.050142
19654	-9.789290	-0.794194	-0.389296	0.025462	-0.010900	0.014224	1.126619	0.094437	-0.239456	0.101026	0.001323	-0.994883	-0.857900	-0.506261	-0.087789	-0.503787	0.862379	-0.050011
19655	-9.781870	-0.774241	-0.402217	0.021720	0.001156	0.010538	1.111981	0.089815	-0.243421	0.100930	0.001263	-0.994893	-0.858021	-0.506074	-0.087687	-0.503600	0.862489	-0.049994
19656	-9.732570	-0.777842	-0.425118	0.009411	0.002850	0.010964	1.117091	0.084845	-0.245151	0.100850	0.001183	-0.994901	-0.858080	-0.505993	-0.087583	-0.503516	0.862537	-0.050014
19657	-9.782020	-0.771989	-0.402908	0.009285	0.011216	0.015627	1.126696	0.084634	-0.231976	0.100748	0.001014	-0.994911	-0.858144	-0.505912	-0.087414	-0.503426	0.862584	-0.050099
