// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
19648	2.206660	5.955790	7.457860	-0.001936	-0.008023	-0.001325	-0.107770	-0.836971	-0.535301	0.524693	-0.818879	0.232667	0.578504	0.543491	0.608236	-0.624524	-0.184538	0.758891
19649	2.257460	5.976730	7.460870	0.001872	-0.000624	0.007659	-0.113354	-0.835505	-0.536244	0.524733	-0.818839	0.232718	0.578452	0.543550	0.608232	-0.624538	-0.184543	0.758878
19650	2.309860	5.964460	7.472980	0.002059	-0.003153	0.008578	-0.108527	-0.842653	-0.543295	0.524764	-0.818794	0.232805	0.578375	0.543620	0.608243	-0.624583	-0.184536	0.758843
19651	2.339420	5.981460	7.464710	0.002684	-0.002091	0.005000	-0.111243	-0.844241	-0.543018	0.524780	-0.818771	0.232851	0.578332	0.543656	0.608251	-0.624610	-0.184533	0.758822
19652	2.297140	5.973590	7.442110	0.002871	-0.006824	-0.003022	-0.109902	-0.837092	-0.543326	0.524717	-0.818807	0.232869	0.578373	0.543623	0.608242	-0.624625	-0.184469	0.758824
19653	2.230460	5.960090	7.468080	0.000686	-0.004526	0.000049	-0.110237	-0.844545	-0.543196	0.524689	-0.818815	0.232903	0.578369	0.543623	0.608247	-0.624653	-0.184436	0.758810
19654	2.290370	5.961010	7.460780	0.004992	-0.009550	-0.000269	-0.106184	-0.843841	-0.540030	0.524624	-0.818842	0.232955	0.578388	0.543608	0.608242	-0.624690	-0.184360	0.758797
19655	2.260550	5.977560	7.459270	0.001683	-0.008521	-0.001690	-0.111300	-0.836792	-0.550363	0.524561	-0.818867	0.233009	0.578386	0.543591	0.608259	-0.624745	-0.184299	0.758767
19656	2.261060	5.977750	7.458970	0.002558	-0.007355	-0.001232	-0.115253	-0.846946	-0.550836	0.524501	-0.818902	0.233021	0.578467	0.543569	0.608201	-0.624720	-0.184207	0.758810
19657	2.320940	5.978510	7.451780	-0.001938	-0.008023	-0.001322	-0.112324	-0.847360	-0.532648	0.524443	-0.818924	0.233074	0.578486	0.543562	0.608189	-0.624751	-0.184131	0.758803
19658	2.246810	5.951810	7.497180	-0.001064	-0.006857	-0.000865	-0.114205	-0.845326	-0.544227	0.524400	-0.818934	0.233137	0.578453	0.543560	0.608222	-0.624818	-0.184093	0.758757
19659	2.280910	5.980240	7.529340	0.003120	-0.006721	0.001014	-0.104981	-0.843304	-0.545508	0.524363	-0.818940	0.233194	0.578428	0.543563	0.608244	-0.624871	-0.184055	0.758723
19660	2.285950	5.948800	7.478450	0.004557	-0.004920	0.003718	-0.110120	-0.845923	-0.536096	0.524352	-0.818940	0.233223	0.578449	0.543579	0.608209	-0.624862	-0.184008	0.758742
19661	2.353470	5.962810	7.451760	0.004741	-0.009654	-0.004303	-0.112503	-0.844250	-0.535594	0.524266	-0.818981	0.233270	0.578442	0.543535	0.608255	-0.624940	-0.183955	0.758690
19662	2.285580	5.982900	7.468260	0.003361	-0.019249	-0.012316	-0.112464	-0.841785	-0.537148	0.524081	-0.819076	0.233352	0.578460	0.543434	0.608328	-0.625079	-0.183829	0.758606
19663	2.176560	5.961510	7.471760	0.000743	-0.012320	-0.005259	-0.112615	-0.848119	-0.536515	0.523974	-0.819127	0.233413	0.578483	0.543390	0.608346	-0.625147	-0.183732	0.758573
19664	2.262550	5.934480	7.425180	-0.002245	-0.006348	0.009410	-0.113153	-0.841844	-0.548614	0.523998	-0.819081	0.233522	0.578417	0.543473	0.608334	-0.625187	-0.183693	0.758550
19665	2.342730	5.972110	7.420120	-0.003372	-0.007618	0.004919	-0.107613	-0.840780	-0.540209	0.523979	-0.819068	0.233609	0.578413	0.543520	0.608297	-0.625208	-0.183612	0.758552
19666	2.299440	5.928640	7.466930	-0.009241	-0.007454	0.005244	-0.111168	-0.836931	-0.540841	0.523962	-0.819062	0.233671	0.578509	0.543578	0.608153	-0.625133	-0.183468	0.758649
19667	2.282020	5.968530	7.487400	-0.005742	-0.002791	0.007070	-0.109766	-0.852027	-0.542395	0.523985	-0.819028	0.233735	0.578508	0.543647	0.608093	-0.625114	-0.183414	0.758677
