// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
19648	-9.396260	2.643850	-0.869738	0.043638	0.004405	0.003891	0.949875	-0.511091	-0.023690	0.269044	-0.074041	-0.960278	0.793958	-0.547350	0.264648	-0.545203	-0.833622	-0.088476
19649	-9.428570	2.668580	-0.827348	0.047560	-0.004316	-0.004301	0.942013	-0.510324	-0.020338	0.268986	-0.074053	-0.960293	0.793710	-0.547750	0.264565	-0.545592	-0.833358	-0.088561
19650	-9.489330	2.705800	-0.799461	0.055455	-0.007342	-0.012182	0.945813	-0.516493	-0.028195	0.268848	-0.074034	-0.960333	0.793440	-0.548226	0.264389	-0.546054	-0.833047	-0.088648
19651	-9.539950	2.649890	-0.833490	0.056372	-0.008515	-0.015636	0.944657	-0.518741	-0.032005	0.268677	-0.074019	-0.960382	0.793174	-0.548707	0.264189	-0.546524	-0.832731	-0.088715
19652	-9.512180	2.634830	-0.819551	0.054464	-0.002388	-0.012852	0.944344	-0.512549	-0.028760	0.268563	-0.073973	-0.960418	0.792910	-0.549169	0.264020	-0.546962	-0.832431	-0.088833
19653	-9.453750	2.564360	-0.833247	0.053419	0.000802	-0.012214	0.949749	-0.519358	-0.028805	0.268470	-0.073899	-0.960449	0.792651	-0.549623	0.263855	-0.547383	-0.832138	-0.088981
19654	-9.356560	2.537670	-0.761252	0.038953	-0.000168	-0.013443	0.954082	-0.512622	-0.026200	0.268361	-0.073833	-0.960485	0.792474	-0.549955	0.263694	-0.547693	-0.831925	-0.089075
19655	-9.318990	2.503170	-0.782865	0.012080	-0.003040	-0.011621	0.938011	-0.512038	-0.029574	0.268252	-0.073795	-0.960518	0.792439	-0.550064	0.263572	-0.547796	-0.831856	-0.089078
19656	-9.428360	2.516130	-0.803835	0.001786	0.001532	-0.022040	0.943716	-0.520368	-0.033365	0.268074	-0.073674	-0.960577	0.792492	-0.550091	0.263356	-0.547808	-0.831848	-0.089079
19657	-9.503830	2.533490	-0.885293	-0.002010	0.013890	-0.027483	0.955003	-0.521038	-0.019323	0.267932	-0.073407	-0.960637	0.792576	-0.550095	0.263094	-0.547754	-0.831870	-0.089207
19658	-9.535960	2.508610	-0.966803	0.023584	0.024093	-0.045305	0.946814	-0.518674	-0.027649	0.267683	-0.072969	-0.960740	0.792575	-0.550321	0.262626	-0.547879	-0.831759	-0.089478
19659	-9.557320	2.440430	-0.907584	0.053300	0.026886	-0.049110	0.952472	-0.509802	-0.032759	0.267441	-0.072475	-0.960845	0.792414	-0.550800	0.262106	-0.548229	-0.831485	-0.089877
19660	-9.539760	2.442300	-0.860483	0.067773	0.022316	-0.042423	0.951884	-0.515183	-0.023049	0.267192	-0.072047	-0.960946	0.792165	-0.551396	0.261603	-0.548710	-0.831126	-0.090256
19661	-9.532680	2.537910	-0.750873	0.067226	0.004678	-0.029285	0.954095	-0.518113	-0.022702	0.266985	-0.071846	-0.961019	0.791875	-0.551976	0.261261	-0.549230	-0.830759	-0.090476
19662	-9.468780	2.634790	-0.706435	0.045410	-0.019553	-0.015689	0.951179	-0.512099	-0.025859	0.266692	-0.071916	-0.961095	0.791684	-0.552366	0.261015	-0.549648	-0.830494	-0.090377
19663	-9.447490	2.701040	-0.686479	0.019036	-0.037730	-0.006814	0.953868	-0.519019	-0.024477	0.266431	-0.072192	-0.961147	0.791597	-0.552529	0.260932	-0.549899	-0.830361	-0.090064
19664	-9.406760	2.702400	-0.638869	-0.008616	-0.054226	0.002502	0.945406	-0.514981	-0.032935	0.266086	-0.072699	-0.961204	0.791656	-0.552444	0.260934	-0.549981	-0.830374	-0.089445
