// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
19648	1.694760	3.542650	8.988860	-0.012052	0.007360	0.000162	-0.464713	-0.663002	-0.711933	0.688181	-0.705027	0.171300	0.620755	0.694370	0.364024	-0.375592	-0.144179	0.915501
19649	1.693960	3.541640	8.989400	-0.011043	0.009010	-0.003633	-0.469530	-0.656598	-0.708607	0.688193	-0.705039	0.171204	0.620822	0.694360	0.363929	-0.375462	-0.144166	0.915557
19650	1.653320	3.562610	9.028720	-0.013057	0.006531	-0.000678	-0.469549	-0.666372	-0.716520	0.688215	-0.705031	0.171147	0.620874	0.694379	0.363804	-0.375334	-0.144114	0.915617
19651	1.696180	3.551630	9.048970	-0.011548	0.008187	-0.001738	-0.469602	-0.668050	-0.718053	0.688235	-0.705031	0.171066	0.620929	0.694384	0.363701	-0.375206	-0.144092	0.915674
19652	1.721050	3.528790	9.042200	-0.009977	0.007575	-0.003154	-0.469732	-0.658625	-0.714607	0.688244	-0.705042	0.170985	0.620989	0.694376	0.363614	-0.375090	-0.144075	0.915723
19653	1.661300	3.576640	9.015920	-0.008973	0.008405	-0.002316	-0.467039	-0.665282	-0.719769	0.688261	-0.705046	0.170899	0.621038	0.694373	0.363535	-0.374977	-0.144072	0.915770
19654	1.665750	3.520100	9.037790	-0.011492	0.005101	0.002535	-0.463229	-0.667188	-0.716625	0.688297	-0.705020	0.170862	0.621065	0.694408	0.363422	-0.374868	-0.144026	0.915822
19655	1.663720	3.557620	8.999880	-0.014242	0.013327	-0.005085	-0.472948	-0.657035	-0.720104	0.688315	-0.705037	0.170721	0.621153	0.694393	0.363300	-0.374688	-0.144021	0.915897
19656	1.678180	3.517600	9.007590	-0.013630	0.007156	0.006200	-0.472038	-0.665049	-0.720856	0.688382	-0.704982	0.170677	0.621164	0.694458	0.363157	-0.374547	-0.143972	0.915962
19657	1.673460	3.532870	9.025530	-0.022037	0.014124	0.001626	-0.466909	-0.669337	-0.706205	0.688445	-0.704951	0.170553	0.621236	0.694501	0.362952	-0.374313	-0.143919	0.916066
19658	1.698020	3.509120	9.019180	-0.017896	0.012909	0.004266	-0.471330	-0.666727	-0.720501	0.688522	-0.704901	0.170449	0.621278	0.694560	0.362767	-0.374102	-0.143877	0.916159
19659	1.750290	3.514400	9.025540	-0.019136	0.022796	-0.004414	-0.460889	-0.663165	-0.721553	0.688579	-0.704899	0.170224	0.621380	0.694557	0.362599	-0.373826	-0.143905	0.916267
19660	1.865340	3.543730	9.023220	-0.015418	0.039101	-0.008543	-0.467337	-0.666957	-0.714225	0.688675	-0.704898	0.169842	0.621501	0.694527	0.362449	-0.373449	-0.144052	0.916398
19661	1.886130	3.521020	9.017280	-0.009110	0.057277	-0.022518	-0.463172	-0.669640	-0.711148	0.688748	-0.704972	0.169235	0.621690	0.694381	0.362403	-0.372998	-0.144393	0.916528
19662	1.861150	3.508760	8.991850	-0.008153	0.081015	-0.029665	-0.464389	-0.662734	-0.716563	0.688864	-0.705051	0.168434	0.621920	0.694205	0.362346	-0.372400	-0.144855	0.916698
19663	1.758020	3.523750	9.026860	-0.004435	0.098184	-0.038476	-0.463570	-0.670512	-0.717027	0.688990	-0.705175	0.167394	0.622202	0.693940	0.362370	-0.371696	-0.145516	0.916879
19664	1.598720	3.570560	9.017780	-0.005641	0.104203	-0.038312	-0.467679	-0.666427	-0.723883	0.689133	-0.705275	0.166383	0.622476	0.693710	0.362340	-0.370971	-0.146131	0.917075
19665	1.463620	3.534920	9.095210	-0.003699	0.089181	-0.037256	-0.458800	-0.662287	-0.719580	0.689232	-0.705402	0.165430	0.622746	0.693453	0.362368	-0.370333	-0.146734	0.917236
